site_year,Abra alba,Actinia equina,Alcyonidium polyoum,Ampharete acutifrons,Ampharete baltica,Arctica islandica,Aricidea suecica,Astarte borealis,Astarte elliptica,Asterias rubens,Balanus crenatus,Bathyporeia pilosa,Bylgides sarsi,Callopora lineata,Capitella capitata,Cephalothrix,Cirrophorus eliasoni,Corbula gibba,Corophium volutator,Crangon crangon,Diastylis rathkei,Electra crustulenta,Eteone flava,Eteone longa,Euchone papillosa,Eucratea loricata,Eulalia bilineata,Fabricia stellaris,Gammarus oceanicus,Gammarus salinus,Gammarus zaddachi,Gastrosaccus spinifer,Gonothyraea loveni,Halicryptus spinulosus,Halitholus yoldiaarcticae,Harmothoe imbricata,Hartlaubella gelatinosa,Hediste diversicolor,Heteromastus filiformis,Hydrobia ulvae,Hyperia galba,Idotea balthica,Idotea chelipes,Jaera albifrons,Lagis koreni,Laomedea flexuosa,Lepidonotus squamatus,Lineus ruber,Macoma balthica,Malacobdella grossa,Marenzelleria neglecta,Metridium senile,Monoporeia affinis,Musculus discors,Musculus marmoratus,Mya arenaria,Mya truncata,Mysella bidentata,Mysis mixta,Mytilus edulis,Nais elinguis,Nemertina,Neomysis integer,Nephtys caeca,Nephtys ciliata,Nephtys hombergii,Nereimyra punctata,Oligochaeta,Opercularella lacerata,Opercularella pumila,Ophiura albida,Palaemon elegans,Paranais litoralis,Paraonis fulgens,Parvicardium ovale,Phaxas pellucidus,Pherusa plumosa,Philine aperta,Pholoe assimilis,Pholoe baltica,Pholoe inornata,Phyllodoce (Anaitides) maculata,Phyllodoce (Anaitides) mucosa,Polydora (Polydora) quadrilobata,Polydora caulleryi,Polydora ciliata,Pontoporeia femorata,Praunus flexuosus,Priapulus caudatus,Pseudopolydora antennata,Pseudopolydora pulchra,Pygospio elegans,Saduria entomon,Scalibregma inflatum,Scoloplos armiger,Streptosyllis websteri,Terebellides stroemii,Travisia forbesii,Trochochaeta multisetosa,Tubifex costatus,Tubificoides benedeni,Turbellaria,Verticillina verticillata
0_1994,384.0,0.0,0.0,22.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,14.0,0.0,0.0,63.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
0_1995,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1997,279.0,0.0,0.0,13.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1134.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,226.0,2.0,0.0,2.0,0.0,0.0,138.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,49.0,0.0,9.0,0.0,0.0,0.0,0.0
0_1998,707.0,0.0,0.0,3.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,474.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,25.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,16.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,333.0,0.0,88.0,0.0,0.0,0.0,0.0
0_1999,107.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,16.0,0.0,0.0,0.0,0.0
0_2000,2638.0,0.0,0.0,3.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,332.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,18.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,0.0,1193.0,0.0,208.0,0.0,0.0,0.0,0.0
0_2001,1016.0,0.0,0.0,0.0,13.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,318.0,1.0,3.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,88.0,1.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2002,0.0,3.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2003,135.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,16.0,1.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
0_2004,170.0,0.0,0.0,0.0,3.0,44.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,890.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,145.0,0.0,1.0,0.0,9.0,0.0,0.0,6.0,38.0,1.0,3.0,0.0,0.0,50.0,0.0,0.0,6.0,3.0,3.0,1.0,1.0,9.0,6.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,35.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
