site_year,min_depth,max_depth,bot_depth,secchi_depth,depth,temperature,salinity,oxygen,phosphate,total_phosphorus,silicate,nitrate_nitrite,nitrate,nitrite,ammonium,total_nitrogen,hydrogen_sulphide,ph,total_alkalinity,chlorophyll_a
0_1994,25.0,25.0,24.867088607594937,5.393037974683544,11.835003230379748,9.234151898734178,15.445367088607597,7.007341772151899,0.2830379746835443,2.54,10.553164556962026,4.28,3.231012658227848,0.2436708860759493,0.8531645569620254,19.4,1.2,8.08,1.587,2.718417721518988
0_1995,25.0,25.0,24.73096446700508,6.9847715736040605,12.3820522642132,8.435522842639594,14.708365482233502,6.716852791878173,0.4125888324873096,2.54,15.13248730964467,4.28,3.617258883248731,0.4539086294416243,0.6832487309644669,19.4,1.2,8.08,1.587,2.074720812182741
0_1997,25.0,25.0,23.79310344827586,7.689655172413793,12.276986096551726,6.893620689655172,14.058379310344828,7.855862068965517,0.16,0.49,7.558620689655172,4.28,2.103448275862069,0.279655172413793,1.0413793103448277,15.0,1.2,8.08,1.587,1.372413793103448
0_1998,50.0,50.0,24.75,8.347222222222221,12.38444447222222,9.171583333333334,15.50527777777778,6.738472222222223,0.4913888888888889,0.8802777777777778,12.418055555555556,4.28,2.459722222222222,0.2761111111111111,0.8083333333333333,20.648611111111112,1.2,8.08,1.587,2.02
0_1999,25.0,25.0,24.346938775510203,8.3,12.472174453061225,9.692775510204084,17.406714285714287,5.933061224489797,0.4381632653061224,0.9091836734693876,15.116326530612248,4.28,4.1000000000000005,0.4085714285714286,0.6673469387755102,21.787755102040816,1.2,8.08,1.5870000000000002,3.7597959183673466
0_2000,50.0,50.0,24.17948717948718,7.802564102564103,11.3211865008547,9.868589743589745,15.110760683760684,6.38076923076923,0.4476068376068375,0.9245299145299144,15.8,4.28,2.047008547008547,0.3338461538461538,1.7777777777777777,22.57094017094017,1.2,8.08,1.587,2.207863247863248
0_2001,25.0,25.0,24.28,7.586666666666667,12.092395298666666,11.06948,15.20632,6.164000000000001,0.5250666666666667,0.9434666666666668,14.093333333333334,4.28,2.0146666666666664,0.2241333333333333,0.964,20.88133333333333,1.2,8.08,1.587,2.212
0_2002,25.0,25.0,24.735042735042736,7.294017094017094,12.263730666666666,9.535393162393165,14.98311965811966,6.467863247863248,0.7330769230769231,1.2972649572649573,16.11965811965812,4.28,2.6059829059829056,0.3434188034188034,1.994871794871795,22.04957264957265,0.9547008547008548,8.08,1.587,2.667863247863248
0_2003,25.0,25.0,25.324324324324323,7.837837837837838,12.315248638783784,8.784216216216217,16.152783783783786,6.6235135135135135,0.4662162162162162,0.8731081081081081,12.99189189189189,4.28,2.4,0.2147297297297297,1.3364864864864865,19.3472972972973,0.5,8.006891891891891,1.587,2.031891891891892
0_2004,25.0,25.0,24.11320754716981,8.922641509433962,12.123087381132075,8.605283018867924,15.440094339622645,7.069056603773586,0.3994339622641509,0.8775471698113207,13.169811320754716,3.372264150943396,1.7867924528301888,0.2915094339622641,0.4943396226415094,21.760377358490565,0.5,7.889999999999999,1.5870000000000002,2.2322641509433963
1_1994,31.0,31.0,30.0,6.5,14.836207276,7.608214285714285,8.145785714285713,7.854999999999999,0.22,0.37,8.7,4.28,0.1,0.01,0.2,21.4,1.0,8.51,1.5675,5.4
1_1995,31.0,31.0,32.19444444444444,5.738888888888889,16.425303983333336,12.434333333333331,7.526638888888889,6.425555555555556,0.22,0.37,8.7,4.28,0.1,0.01,0.2,21.4,1.0,8.51,1.763111111111111,2.5972222222222228
1_1998,31.0,31.0,32.0,6.0,20.810012,15.300333333333334,7.683666666666666,6.503333333333333,0.05,0.2733333333333334,10.633333333333333,4.28,0.1,0.01,0.7666666666666667,16.633333333333333,1.0,8.51,1.6529999999999998,0.3
1_1999,31.0,31.0,33.0,6.0,17.837328766666666,13.937888888888889,7.63911111111111,5.678888888888888,0.3811111111111111,0.5811111111111111,12.655555555555557,4.28,0.8,0.2288888888888889,0.6777777777777777,19.46666666666667,1.0,8.51,1.6,2.5
1_2001,31.0,31.0,32.666666666666664,5.2,15.333333333333334,9.40325,7.477916666666666,7.420833333333333,0.09,0.31,9.3,4.28,0.3,0.24,0.2,17.6,56.20000000000001,8.51,1.77525,2.2158333333333333
1_2002,31.0,31.0,32.0,3.392307692307692,15.517380726923076,12.063846153846152,7.9566923076923075,6.21076923076923,0.3853846153846154,0.6323076923076923,15.876923076923076,4.28,0.5615384615384615,0.1361538461538461,0.7461538461538461,17.346153846153847,17.984615384615385,8.51,1.6346153846153846,5.107692307692308
1_2003,31.0,31.0,32.0,8.0,29.728397,12.0225,10.1195,4.404999999999999,0.24,0.51,12.8,4.28,0.2,0.02,0.5,17.0,10.0,8.51,1.55,0.1
2_1994,48.0,48.0,47.19387755102041,6.678571428571429,21.55655315387755,7.832710884353742,9.972727891156463,7.102312925170068,0.4522448979591837,0.7821088435374149,11.78265306122449,4.28,3.619047619047619,0.3280612244897959,0.5302721088435375,25.227551020408164,7.53673469387755,8.249149659863946,1.669418367346939,3.3153061224489795
2_1995,48.0,48.0,47.38796680497925,8.508298755186722,22.344656609709546,7.431632780082988,9.57389834024896,7.313755186721992,0.465103734439834,0.721058091286307,11.163485477178424,4.28,2.789834024896266,0.2564107883817427,0.750207468879668,22.11701244813278,9.73713692946058,8.080165975103736,1.6642883817427383,1.5209543568464732
2_1997,48.0,48.0,47.61722488038278,6.679425837320574,19.73415995215311,8.281354066985646,9.749373205741628,7.296889952153109,0.4414354066985646,0.7114832535885167,12.698564593301436,4.28,2.1818181818181817,0.307177033492823,0.3607655502392344,20.239712918660288,4.444019138755981,8.14287081339713,1.6727942583732056,2.454066985645933
